ACCOUNT_SK,CRM_ACCOUNT_ID,ACCOUNT_NAME,ACTIVE_SEATS,PLAN_CODE,MONTHLY_JOBS_L90,REGION_CODE
7000217,001000000000000031,MapleLink Solutions,19,SMB-A,102,EMEA
7000224,001000000000000032,LarkWave Inc,536,ENT-A,221,LATAM
7000231,001000000000000033,CrownVision LLC,426,ENT-B,336,NA-East
7000238,001000000000000034,SilverMetric Industries,12,ENT-B,101,NA-East
7000245,001000000000000035,IronCore Co,3,SMB-B,185,APAC
7000252,001000000000000036,GraniteLabs Co,214,SMB-A,18,APAC
7000259,001000000000000037,VanguardSignal Corp,539,SMB-B,73,NA-East
7000266,001000000000000038,Helios Labs LLC,11,TRIAL,324,NA-West
7000273,001000000000000039,CedarStream Systems,29,SMB-B,142,NA-East
7000280,001000000000000040,OnyxPulse Holdings,12,ENT-A,35,NA-East
7000287,001000000000000041,TitanVector Partners,260,ENT-A,181,EMEA
7000294,001000000000000042,MapleLogic Industries,29,ENT-B,329,EMEA
7000301,001000000000000043,PioneerLabs Solutions,9,ENT-A,372,NA-East
7000308,001000000000000044,CrownFabric Systems,4,ENT-A,335,EMEA
7000315,001000000000000045,QuantumVision Group,22,ENT-A,16,EMEA
7000322,001000000000000046,CedarTech Solutions,436,SMB-A,73,EMEA
7000329,001000000000000047,RidgeSphere LLC,599,TRIAL,72,NA-East
7000336,001000000000000048,GraniteWave Industries,40,ENT-A,105,NA-West
7000343,001000000000000049,KeystoneWorks Co,39,TRIAL,37,NA-East
7000350,001000000000000050,AtlasFabric LLC,93,SMB-A,274,EMEA
7000357,001000000000000051,PioneerCore Global,11,ENT-A,135,NA-East
7000364,001000000000000052,NovaTech Co,29,SMB-A,32,EMEA
7000371,001000000000000053,AtlasFabric Technologies,36,SMB-A,44,APAC
7000378,001000000000000054,PioneerGrid Solutions,511,ENT-A,371,NA-East
7000385,001000000000000055,BrightCloud Inc,26,SMB-A,37,NA-East
7000392,001000000000000056,CobaltStream Co,15,ENT-B,155,NA-East
7000399,001000000000000057,RidgeStream Partners,307,SMB-A,204,EMEA
7000406,001000000000000058,BeaconVector LLC,33,TRIAL,29,APAC
7000413,001000000000000059,NorthPulse Group,587,ENT-A,36,NA-West
7000420,001000000000000060,QuantumStream Systems,22,ENT-B,77,APAC
7000427,001000000000000061,VertexFabric Systems,294,TRIAL,105,APAC
7000434,001000000000000062,GraniteVision Group,370,TRIAL,33,APAC
7000441,001000000000000063,RidgeMicro Systems,267,SMB-A,240,APAC
7000448,001000000000000064,BrightVision Industries,257,ENT-B,28,EMEA
7000455,001000000000000065,ApexMetric Technologies,498,ENT-B,4,APAC
7000462,001000000000000066,IronPulse Group,5,SMB-B,29,EMEA
7000469,001000000000000067,BlueLogic Inc,390,ENT-B,61,NA-East
7000476,001000000000000068,IronSoft Industries,197,SMB-B,310,NA-East
7000483,001000000000000069,NovaMetric Technologies,33,ENT-A,219,APAC
7000490,001000000000000070,QuantumVector LLC,521,TRIAL,47,NA-West
7000497,001000000000000071,SterlingLink Holdings,6,TRIAL,142,NA-East
7000504,001000000000000072,MeridianNexus Co,413,ENT-B,251,NA-East
7000511,001000000000000073,UnionTech LLC,396,SMB-A,343,NA-West
7000518,001000000000000074,EmeraldWorks Holdings,547,SMB-A,29,LATAM
7000525,001000000000000075,GraniteMetric Group,4,ENT-A,37,EMEA
7000532,001000000000000076,BlueStream Global,3,TRIAL,33,NA-West
7000539,001000000000000077,RidgeStream Solutions,199,SMB-B,0,NA-West
7000546,001000000000000078,AuroraMetric LLC,8,SMB-B,87,NA-West
7000553,001000000000000079,OrchardVision Solutions,17,SMB-A,39,EMEA
7000560,001000000000000080,BrightSphere Systems,7,SMB-B,276,EMEA
7000567,001000000000000081,BluePulse Inc,589,TRIAL,306,NA-East
7000574,001000000000000082,GraniteByte Industries,68,TRIAL,25,NA-West
7000581,001000000000000083,HarborNetworks Solutions,31,SMB-B,37,APAC
7000588,001000000000000084,UnionByte Inc,6,SMB-B,396,NA-East
7000595,001000000000000085,TitanNetworks Industries,332,SMB-B,122,NA-East
7000602,001000000000000086,Standard Metric Partners,321,SMB-A,364,NA-East
7000609,001000000000000087,CopperCompute Inc,213,TRIAL,191,APAC
7000616,001000000000000088,SummitNetworks Corp,505,SMB-A,278,LATAM
7000623,001000000000000089,QuantumSignal Industries,346,SMB-A,89,NA-East
7000630,001000000000000090,DeltaLoop LLC,13,ENT-A,16,NA-East
7000637,001000000000000091,Standard Micro Group,188,SMB-A,170,APAC
7000644,001000000000000092,BlueCompute Inc,38,SMB-A,164,LATAM
7000651,001000000000000093,CrownVector Holdings,112,SMB-B,46,NA-West
7000658,001000000000000094,SableLogic Technologies,115,SMB-B,44,LATAM
7000665,001000000000000095,UnionDynamics Industries,5,SMB-B,13,NA-West
7000672,001000000000000096,PioneerCore Group,341,ENT-A,46,NA-West
7000679,001000000000000097,EmeraldByte Corp,22,SMB-A,292,LATAM
7000686,001000000000000098,MeridianCompute Technologies,568,TRIAL,7,NA-East
7000693,001000000000000099,Allied Digital Co,8,SMB-B,127,APAC
7000700,001000000000000100,CascadeLink Partners,19,SMB-B,397,NA-West
7000707,001000000000000101,NorthFabric LLC,38,TRIAL,90,EMEA
7000714,001000000000000102,PacificLoop Inc,70,SMB-B,20,NA-West
7000721,001000000000000103,SableVector Co,19,ENT-A,273,LATAM
7000728,001000000000000104,KeystoneMicro Holdings,241,SMB-B,249,APAC
7000735,001000000000000105,SummitNetworks Solutions,197,TRIAL,59,NA-East
7000742,001000000000000106,CedarAnalytics Co,270,TRIAL,105,NA-East
7000749,001000000000000107,MeridianMetric Corp,181,TRIAL,117,LATAM
7000756,001000000000000108,GraniteStream Industries,103,SMB-B,44,EMEA
7000763,001000000000000109,TitanDigital Systems,468,SMB-A,91,LATAM
7000770,001000000000000110,UnionVision LLC,493,SMB-A,270,NA-West
7000777,001000000000000111,QuantumVision Technologies,225,ENT-B,300,NA-West
7000784,001000000000000112,Pan-Atlantic Analytics Holdings,182,ENT-B,103,APAC
7000791,001000000000000113,CrownLoop LLC,5,TRIAL,65,EMEA
7000798,001000000000000114,LarkWorks Co,225,SMB-B,36,NA-East
7000805,001000000000000115,UnionWorks Technologies,569,SMB-B,284,NA-East
7000812,001000000000000116,SableWorks Industries,209,TRIAL,309,NA-East
7000819,001000000000000117,CascadeGrid Solutions,18,SMB-B,151,NA-East
7000826,001000000000000118,CedarLogic Group,375,TRIAL,130,NA-East
7000833,001000000000000119,TitanMetric Co,85,SMB-B,333,NA-East
7000840,001000000000000120,CrownLink Technologies,521,TRIAL,4,NA-West
7000847,001000000000000121,GraniteTech Solutions,86,TRIAL,107,APAC
7000854,001000000000000122,DeltaWorks Solutions,11,ENT-A,46,LATAM
7000861,001000000000000123,Standard Analytics Corp,140,SMB-B,358,NA-West
7000868,001000000000000124,NovaData Global,353,ENT-B,136,LATAM
7000875,001000000000000125,TitanDynamics Inc,185,SMB-A,22,EMEA
7000882,001000000000000126,VanguardLabs Holdings,7,SMB-B,120,EMEA
7000889,001000000000000127,QuantumWave Industries,509,SMB-B,29,NA-West
7000896,001000000000000128,VertexNexus Co,21,ENT-B,267,EMEA
7000903,001000000000000129,EmeraldGrid Technologies,297,SMB-B,199,NA-East
7000910,001000000000000130,MeridianWave Technologies,18,SMB-A,228,EMEA
7000917,001000000000000131,BeaconGrid Partners,302,SMB-A,145,NA-East
7000924,001000000000000132,NovaCompute Co,39,TRIAL,33,LATAM
7000931,001000000000000133,ApexLink Industries,19,ENT-A,123,APAC
7000938,001000000000000134,UnionLink Corp,371,TRIAL,33,EMEA
7000945,001000000000000135,RidgeData Systems,21,TRIAL,12,APAC
7000952,001000000000000136,CrownWave Group,26,ENT-B,67,NA-East
7000959,001000000000000137,BeaconSphere Co,7,ENT-A,24,APAC
7000966,001000000000000138,CopperData LLC,6,SMB-A,39,EMEA
7000973,001000000000000139,SilverVision Partners,21,ENT-B,136,LATAM
7000980,001000000000000140,VertexWorks Group,226,ENT-A,256,NA-East
7000987,001000000000000141,AuroraSystems Holdings,35,ENT-A,123,NA-West
7000994,001000000000000142,IronVision Co,153,TRIAL,144,LATAM
7001001,001000000000000143,CedarPulse Group,17,SMB-B,352,NA-West
7001008,001000000000000144,CobaltNetworks Corp,36,ENT-A,322,LATAM
7001015,001000000000000145,CobaltDigital Holdings,493,SMB-B,119,EMEA
7001022,001000000000000146,NovaForge Technologies,31,ENT-B,258,EMEA
7001029,001000000000000147,NorthDynamics Group,30,SMB-A,133,NA-West
7001036,001000000000000148,PacificSystems Industries,38,TRIAL,60,EMEA
7001043,001000000000000149,ApexVision Corp,368,SMB-B,91,NA-West
7001050,001000000000000150,NorthDigital Solutions,537,ENT-A,254,NA-West
7001057,001000000000000151,AuroraLink Group,145,ENT-A,69,EMEA
7001064,001000000000000152,PioneerDigital Technologies,32,SMB-A,127,APAC
7001071,001000000000000153,NorthLogic Partners,291,SMB-B,18,APAC
7001078,001000000000000154,LarkMetric Industries,580,ENT-A,109,NA-East
7001085,001000000000000155,BrightLink Industries,15,SMB-B,145,LATAM
7001092,001000000000000156,Consolidated Stream Co,49,SMB-A,142,NA-East
7001099,001000000000000157,MeridianData Systems,296,SMB-A,129,NA-West
7001106,001000000000000158,AuroraCompute Solutions,552,TRIAL,14,LATAM
7001113,001000000000000159,KeystoneWorks Global,566,TRIAL,248,NA-East
7001120,001000000000000160,VertexNetworks Technologies,228,ENT-A,19,NA-West
7001127,001000000000000161,KeystoneLink Systems,140,SMB-B,221,LATAM
7001134,001000000000000162,ApexStream Co,255,TRIAL,57,NA-East
7001141,001000000000000163,BeaconAnalytics Corp,391,ENT-B,127,NA-West
7001148,001000000000000164,AtlasNetworks Partners,507,ENT-A,38,EMEA
7001155,001000000000000165,DeltaStream Technologies,555,SMB-B,27,NA-East
7001162,001000000000000166,Pan-Atlantic Dynamics Group,31,SMB-A,343,EMEA
7001169,001000000000000167,BeaconLoop LLC,5,SMB-B,339,EMEA
7001176,001000000000000168,ApexVector Partners,89,ENT-B,59,NA-East
7001183,001000000000000169,VertexLogic Corp,30,SMB-B,3,EMEA
7001190,001000000000000170,CopperPulse Corp,366,TRIAL,3,LATAM
7001197,001000000000000171,VanguardMicro Corp,7,ENT-B,213,APAC
7001204,001000000000000172,PacificPulse Corp,505,TRIAL,54,NA-West
7001211,001000000000000173,CrownData Solutions,25,SMB-A,228,NA-West
7001218,001000000000000174,CopperNetworks Technologies,89,SMB-B,26,NA-East
7001225,001000000000000175,MapleTech Group,563,ENT-A,128,NA-East
7001232,001000000000000176,BeaconCore Industries,263,SMB-B,114,EMEA
7001239,001000000000000177,GraniteSignal Holdings,106,TRIAL,372,NA-West
7001246,001000000000000178,Consolidated Metric Solutions,538,SMB-A,90,EMEA
7001253,001000000000000179,UnionGrid Holdings,288,TRIAL,83,NA-West
7001260,001000000000000180,DeltaCore LLC,492,TRIAL,12,APAC
7001267,001000000000000181,SterlingCloud Partners,30,ENT-A,33,NA-West
7001274,001000000000000182,DeltaFabric Corp,451,ENT-A,28,EMEA
7001281,001000000000000183,QuantumNetworks LLC,31,SMB-B,169,NA-East
7001288,001000000000000184,AtlasLogic Holdings,40,ENT-B,66,LATAM
7001295,001000000000000185,ApexSignal Solutions,584,SMB-B,36,LATAM
7001302,001000000000000186,AtlasNexus LLC,33,SMB-B,70,APAC
7001309,001000000000000187,KeystoneNetworks Corp,13,TRIAL,87,NA-East
7001316,001000000000000188,MeridianNetworks Corp,424,ENT-A,144,NA-West
7001323,001000000000000189,CopperSignal Industries,34,ENT-A,18,NA-West
7001330,001000000000000190,VertexNexus Solutions,24,ENT-A,3,NA-East
7001337,001000000000000191,Consolidated Stream Global,22,ENT-B,391,APAC
7001344,001000000000000192,PacificVector Global,36,ENT-A,324,EMEA
7001351,001000000000000193,CascadeLabs LLC,68,ENT-A,6,APAC
7001358,001000000000000194,Pan-Atlantic Byte Systems,9,ENT-A,52,LATAM
7001365,001000000000000195,LarkStream Global,25,ENT-B,341,EMEA
7001372,001000000000000196,BeaconByte Group,505,ENT-B,191,APAC
7001379,001000000000000197,QuantumLogic Industries,16,SMB-A,0,NA-West
7001386,001000000000000198,TitanNexus Partners,331,ENT-A,361,NA-East
7001393,001000000000000199,VertexSignal Corp,595,SMB-A,366,NA-East
7001400,001000000000000200,PioneerMicro Partners,57,SMB-A,258,EMEA
7001407,001000000000000201,HarborLoop Technologies,29,ENT-B,22,EMEA
7001414,001000000000000202,HarborDynamics Group,576,ENT-A,301,NA-West
7001421,001000000000000203,OrchardDigital Technologies,17,ENT-A,69,EMEA
7001428,001000000000000204,SableSignal Group,433,SMB-A,238,NA-East
7001435,001000000000000205,PacificNetworks Corp,411,ENT-A,323,APAC
7001442,001000000000000206,BlueByte Industries,32,ENT-A,129,NA-West
7001449,001000000000000207,BeaconLogic Holdings,503,SMB-B,369,NA-West
7001456,001000000000000208,SummitCore Solutions,347,ENT-A,30,LATAM
7001463,001000000000000209,DeltaForge LLC,36,ENT-A,149,NA-West
7001470,001000000000000210,VanguardFabric Partners,487,SMB-B,310,EMEA
7001477,001000000000000211,CopperFabric Systems,534,ENT-A,22,NA-East
7001484,001000000000000212,Meridian Sphere Solutions,15,ENT-B,237,NA-West
7001491,001000000000000213,KeystoneSignal Technologies,21,SMB-A,91,NA-West
7001498,001000000000000214,HarborStream Technologies,27,SMB-B,98,LATAM
7001505,001000000000000215,QuantumWorks Corp,530,TRIAL,152,LATAM
7001512,001000000000000216,DeltaMicro Solutions,488,ENT-A,27,NA-East
7001519,001000000000000217,AtlasNetworks Global,181,ENT-A,0,APAC
7001526,001000000000000218,CedarSystems Global,21,ENT-B,32,NA-East
7001533,001000000000000219,PacificGrid Inc,120,TRIAL,33,APAC
7001540,001000000000000220,OrchardLogic Corp,7,ENT-B,12,LATAM
7001547,001000000000000221,PacificStream Co,24,SMB-A,362,NA-West
7001554,001000000000000222,CedarGrid Group,27,ENT-B,32,NA-West
7001561,001000000000000223,CopperStream LLC,73,SMB-B,34,EMEA
7001568,001000000000000224,UnionNexus Corp,25,TRIAL,8,LATAM
7001575,001000000000000225,LarkNetworks Corp,39,SMB-A,88,EMEA
7001582,001000000000000226,SilverNexus Systems,137,SMB-A,29,APAC
7001589,001000000000000227,OrchardWave Solutions,10,ENT-B,115,EMEA
7001596,001000000000000228,SummitTech Group,218,TRIAL,208,NA-West
7001603,001000000000000229,CobaltDigital LLC,329,ENT-A,262,NA-West
7001610,001000000000000230,MeridianVision Corp,355,SMB-A,33,NA-East
7001617,001000000000000231,RidgeByte Group,30,ENT-A,41,NA-East
7001624,001000000000000232,NovaTech Inc,9,ENT-B,136,NA-East
7001631,001000000000000233,SilverLoop Holdings,82,ENT-B,6,LATAM
7001638,001000000000000234,EmeraldCloud Systems,399,SMB-B,53,APAC
7001645,001000000000000235,SableTech Inc,19,ENT-A,158,APAC
7001652,001000000000000236,CedarDynamics Partners,83,ENT-B,130,APAC
7001659,001000000000000237,SableLabs Industries,425,SMB-A,316,LATAM
7001666,001000000000000238,GraniteAnalytics Solutions,326,ENT-B,118,NA-West
7001673,001000000000000239,AtlasSphere LLC,96,SMB-A,337,NA-West
7001680,001000000000000240,TitanSphere Global,257,ENT-B,282,EMEA
7001687,001000000000000241,BrightLoop Holdings,276,TRIAL,330,NA-East
7001694,001000000000000242,QuantumMetric Solutions,38,SMB-A,115,NA-East
7001701,001000000000000243,QuantumTech Technologies,6,SMB-B,31,EMEA
7001708,001000000000000244,CobaltDigital Partners,32,SMB-A,12,LATAM
7001715,001000000000000245,CobaltLoop Technologies,16,ENT-A,313,NA-West
7001722,001000000000000246,SterlingLoop Corp,24,SMB-A,4,EMEA
7001729,001000000000000247,OnyxData Corp,17,SMB-B,159,LATAM
7001736,001000000000000248,Helios Soft Partners,282,SMB-A,368,EMEA
7001743,001000000000000249,IronSystems Inc,483,ENT-A,16,EMEA
7001750,001000000000000250,KeystoneWorks Corp,33,ENT-B,206,LATAM
7001757,001000000000000251,CobaltFabric Global,167,SMB-B,159,APAC
7001764,001000000000000252,ApexFabric Holdings,9,TRIAL,134,LATAM
7001771,001000000000000253,DeltaCloud Co,484,ENT-B,111,LATAM
7001778,001000000000000254,NovaLink Global,9,SMB-A,241,NA-East
7001785,001000000000000255,OnyxVision Corp,409,ENT-B,73,NA-West
7001792,001000000000000256,SterlingWave Inc,31,SMB-B,17,EMEA
7001799,001000000000000257,PacificLink Technologies,554,SMB-B,233,NA-West
7001806,001000000000000258,MapleVector Partners,317,SMB-A,105,EMEA
7001813,001000000000000259,SableStream Industries,185,TRIAL,269,NA-East
7001820,001000000000000260,OnyxAnalytics Group,359,SMB-B,33,APAC
7001827,001000000000000261,MapleAnalytics Group,433,ENT-B,299,NA-West
7001834,001000000000000262,TitanGrid Group,494,SMB-A,40,NA-West
7001841,001000000000000263,GraniteSignal Global,17,TRIAL,273,APAC
7001848,001000000000000264,TitanSystems LLC,11,ENT-B,200,APAC
7001855,001000000000000265,AuroraMicro Global,31,TRIAL,113,NA-West
7001862,001000000000000266,VanguardVision Systems,463,SMB-A,17,LATAM
7001869,001000000000000267,KeystoneLabs Systems,27,SMB-B,16,NA-East
7001876,001000000000000268,GraniteWave Co,3,TRIAL,109,NA-West
7001883,001000000000000269,CopperStream Global,419,SMB-B,239,EMEA
7001890,001000000000000270,IronGrid Holdings,21,ENT-B,84,APAC
7001897,001000000000000271,TitanFabric Systems,362,ENT-A,14,NA-West
7001904,001000000000000272,LarkWorks LLC,215,SMB-A,20,LATAM
7001911,001000000000000273,AuroraVector Partners,43,SMB-B,218,EMEA
7001918,001000000000000274,SilverFabric Systems,17,TRIAL,60,APAC
7001925,001000000000000275,DeltaLoop Technologies,597,TRIAL,23,LATAM
7001932,001000000000000276,LarkPulse Systems,275,ENT-B,217,LATAM
7001939,001000000000000277,ApexAnalytics Solutions,8,SMB-A,141,LATAM
7001946,001000000000000278,PacificFabric Solutions,30,SMB-A,24,EMEA
7001953,001000000000000279,BlueStream Solutions,29,SMB-A,388,NA-West
7001960,001000000000000280,CopperNexus Technologies,19,TRIAL,153,EMEA
7001967,001000000000000281,LarkSystems Inc,8,SMB-A,150,LATAM
7001974,001000000000000282,CascadeCore Global,518,TRIAL,10,APAC
7001981,001000000000000283,Meridian Core LLC,211,SMB-B,191,LATAM
7001988,001000000000000284,Allied Analytics Solutions,36,ENT-A,111,NA-East
7001995,001000000000000285,SilverWorks Solutions,28,ENT-A,232,APAC
7002002,001000000000000286,TitanTech Holdings,26,SMB-B,28,NA-West
7002009,001000000000000287,DeltaPulse Group,8,SMB-A,24,APAC
7002016,001000000000000288,Pan-Atlantic Micro Corp,521,SMB-A,13,NA-East
7002023,001000000000000289,ApexMetric Holdings,516,SMB-B,391,LATAM
7002030,001000000000000290,CascadeStream Global,273,SMB-B,139,NA-West
7002037,001000000000000291,MapleWave Technologies,389,ENT-A,222,APAC
7002044,001000000000000292,ApexMetric Global,348,TRIAL,26,EMEA
7002051,001000000000000293,BlueVision Inc,537,SMB-B,0,NA-East
7002058,001000000000000294,DeltaStream Holdings,36,TRIAL,63,LATAM
7002065,001000000000000295,BeaconPulse Industries,3,SMB-A,32,APAC
7002072,001000000000000296,VertexMetric LLC,156,TRIAL,103,NA-East
7002079,001000000000000297,SilverLogic Partners,444,ENT-A,127,APAC
7002086,001000000000000298,NorthDigital Global,30,TRIAL,356,APAC
7002093,001000000000000299,Helios Labs Solutions,212,TRIAL,39,NA-West
7002100,001000000000000300,SilverTech Partners,9,SMB-B,287,LATAM
7002107,001000000000000301,RidgeLoop Inc,424,TRIAL,25,NA-East
7002114,001000000000000302,IronSphere Global,22,ENT-A,69,NA-East
7002121,001000000000000303,BrightData Global,378,SMB-A,21,EMEA
7002128,001000000000000304,NorthData Co,25,SMB-B,273,EMEA
7002135,001000000000000305,MapleDigital Partners,3,SMB-A,99,LATAM
7002142,001000000000000306,TitanStream Inc,573,SMB-B,200,NA-West
7002149,001000000000000307,TitanPulse Corp,10,SMB-A,294,NA-East
7002156,001000000000000308,HarborCloud LLC,36,ENT-B,140,APAC
7002163,001000000000000309,CopperSoft Industries,173,SMB-B,204,LATAM
7002170,001000000000000310,NovaCompute Inc,24,SMB-B,11,APAC
7002177,001000000000000311,OrchardSystems Systems,9,TRIAL,179,NA-West
7002184,001000000000000312,PacificDynamics Systems,541,ENT-B,127,EMEA
7002191,001000000000000313,HarborSignal Technologies,518,TRIAL,194,EMEA
7002198,001000000000000314,SableSoft Partners,8,ENT-B,55,LATAM
7002205,001000000000000315,GraniteByte Technologies,314,ENT-B,154,NA-East
7002212,001000000000000316,CobaltMetric Inc,113,SMB-A,279,APAC
7002219,001000000000000317,VanguardDigital Partners,563,ENT-A,3,NA-East
7002226,001000000000000318,MeridianSignal Systems,597,SMB-B,101,NA-East
7002233,001000000000000319,AuroraLabs Technologies,60,TRIAL,124,LATAM
7002240,001000000000000320,HarborWorks Global,36,SMB-B,25,NA-East
7002247,001000000000000321,PioneerData Global,33,ENT-B,320,NA-West
7002254,001000000000000322,ApexData Global,350,ENT-B,14,APAC
7002261,001000000000000323,Consolidated Stream Group,4,SMB-B,13,NA-West
7002268,001000000000000324,SummitWorks Industries,313,ENT-B,59,EMEA
7002275,001000000000000325,Meridian Digital Corp,133,TRIAL,20,APAC
7002282,001000000000000326,IronCloud Co,216,ENT-B,291,EMEA
7002289,001000000000000327,NovaTech Industries,36,SMB-A,17,LATAM
7002296,001000000000000328,HarborCompute Co,5,TRIAL,18,APAC
7002303,001000000000000329,TitanLogic Technologies,27,SMB-A,55,NA-East
7002310,001000000000000330,Meridian Nexus Holdings,11,TRIAL,280,NA-East
7002317,001000000000000331,SterlingByte Global,18,SMB-A,1,NA-West
7002324,001000000000000332,SterlingCompute Holdings,428,ENT-B,10,NA-East
7002331,001000000000000333,MeridianPulse Group,591,SMB-A,27,LATAM
7002338,001000000000000334,BlueFabric Partners,399,ENT-B,358,APAC
7002345,001000000000000335,BeaconVision Systems,448,ENT-A,37,APAC
7002352,001000000000000336,AuroraLabs Co,164,TRIAL,245,NA-East
7002359,001000000000000337,MeridianDynamics Inc,224,TRIAL,1,APAC
7002366,001000000000000338,NovaByte Inc,21,ENT-A,38,NA-West
7002373,001000000000000339,BlueLink Systems,12,ENT-B,137,NA-East
7002380,001000000000000340,NorthPulse Co,14,ENT-A,56,NA-East
7002387,001000000000000341,CascadeLink LLC,21,SMB-B,304,LATAM
7002394,001000000000000342,PacificWorks Technologies,599,SMB-B,6,LATAM
7002401,001000000000000343,CascadeStream Technologies,16,ENT-B,112,APAC
7002408,001000000000000344,Standard Networks Industries,65,ENT-B,3,APAC
7002415,001000000000000345,NovaNexus LLC,33,ENT-A,391,EMEA
7002422,001000000000000346,MapleByte Global,204,TRIAL,50,NA-West
7002429,001000000000000347,PacificWave Solutions,398,TRIAL,74,NA-West
7002436,001000000000000348,Pan-Atlantic Analytics LLC,9,SMB-B,45,NA-East
7002443,001000000000000349,BrightFabric Systems,141,SMB-B,224,APAC
7002450,001000000000000350,SterlingVector Technologies,154,ENT-B,15,EMEA
7002457,001000000000000351,HarborMetric Group,7,SMB-B,10,EMEA
7002464,001000000000000352,IronSoft Systems,165,TRIAL,137,NA-West
7002471,001000000000000353,DeltaData Partners,36,ENT-A,28,EMEA
7002478,001000000000000354,VertexWorks Systems,23,SMB-A,40,NA-West
7002485,001000000000000355,SilverAnalytics Technologies,415,ENT-A,90,APAC
7002492,001000000000000356,GraniteSignal Systems,37,ENT-B,92,EMEA
7002499,001000000000000357,Standard Dynamics LLC,344,SMB-A,50,LATAM
7002506,001000000000000358,Helios Loop Holdings,535,SMB-A,234,EMEA
7002513,001000000000000359,SummitWorks Technologies,38,SMB-B,59,EMEA
7002520,001000000000000360,GraniteDigital Technologies,545,ENT-A,210,EMEA
7002527,001000000000000361,EmeraldGrid Partners,13,ENT-A,118,EMEA
7002534,001000000000000362,AuroraStream Technologies,249,ENT-B,209,LATAM
7002541,001000000000000363,NovaStream Corp,37,TRIAL,2,EMEA
7002548,001000000000000364,SummitSystems Global,361,SMB-B,116,LATAM
7002555,001000000000000365,AuroraLink LLC,225,TRIAL,132,APAC
7002562,001000000000000366,RidgeTech Industries,13,ENT-B,11,LATAM
7002569,001000000000000367,QuantumCompute Global,445,SMB-A,146,LATAM
7002576,001000000000000368,MeridianTech Partners,342,TRIAL,275,NA-West
7002583,001000000000000369,OnyxData Systems,229,ENT-A,109,NA-East
7002590,001000000000000370,DeltaLogic Co,263,SMB-A,45,LATAM
7002597,001000000000000371,KeystoneCore Holdings,20,SMB-A,202,APAC
7002604,001000000000000372,GraniteCloud Co,274,ENT-B,224,LATAM
7002611,001000000000000373,VertexForge Group,193,SMB-B,59,NA-West
7002618,001000000000000374,SableStream Technologies,28,SMB-A,142,APAC
7002625,001000000000000375,MapleGrid Corp,35,SMB-B,0,EMEA
7002632,001000000000000376,NovaSoft Holdings,6,TRIAL,93,APAC
7002639,001000000000000377,BlueAnalytics Holdings,5,TRIAL,176,APAC
7002646,001000000000000378,SummitSystems Partners,318,ENT-A,73,NA-East
7002653,001000000000000379,NorthTech Partners,505,ENT-B,390,NA-East
7002660,001000000000000380,SableSignal Technologies,10,ENT-B,124,APAC
7002667,001000000000000381,NovaNexus Industries,4,ENT-A,47,LATAM
7002674,001000000000000382,SableForge Holdings,26,ENT-A,77,LATAM
