EVENT_SK,ACCOUNT_SK,EVENT_TYPE,SESSION_COUNT,FEATURE_FLAG,EVENT_TIMESTAMP,INGESTED_AT,APP_VERSION,REGION_CODE
46,7000014,dashboard_view,29,A,2026-03-14 13:21:00,2026-03-14 13:48:00,v4.5,NA-East
47,7000014,api_call,127,B,2026-05-02 20:46:00,2026-05-02 21:01:00,v3.1,LATAM
48,7000014,job_run,89,A,2026-06-20 09:52:00,2026-06-20 10:00:00,v4.0,EMEA
49,7000014,api_call,157,control,2026-04-19 01:53:00,2026-04-19 02:15:00,v5.4,EMEA
50,7000014,export,81,B,2026-04-20 01:41:00,2026-04-20 02:09:00,v5.0,NA-West
51,7000014,export,79,control,2025-11-25 17:35:00,2025-11-25 17:40:00,v4.1,NA-West
52,7000014,api_call,110,control,2026-07-04 21:20:00,2026-07-04 21:46:00,v3.1,NA-East
53,7000014,export,34,A,2026-01-18 20:11:00,2026-01-18 20:26:00,v5.1,EMEA
54,7000014,api_call,10,A,2026-01-12 06:42:00,2026-01-12 07:04:00,v5.4,NA-East
55,7000021,export,204,control,2026-06-22 16:47:00,2026-06-22 16:49:00,v3.5,NA-East
56,7000021,export,21,A,2026-06-11 09:53:00,2026-06-11 10:00:00,v4.7,NA-West
57,7000021,api_call,154,B,2025-12-17 10:06:00,2025-12-17 10:11:00,v3.2,LATAM
58,7000021,dashboard_view,159,B,2026-01-12 02:21:00,2026-01-12 02:45:00,v3.7,LATAM
59,7000021,export,219,A,2026-02-17 17:41:00,2026-02-17 17:47:00,v4.7,NA-West
60,7000021,job_run,4,A,2026-06-27 07:39:00,2026-06-27 07:45:00,v3.7,NA-East
61,7000021,job_run,79,control,2026-04-14 14:12:00,2026-04-14 14:37:00,v5.2,NA-East
62,7000021,job_run,70,control,2026-06-13 04:18:00,2026-06-13 04:41:00,v5.1,NA-East
63,7000021,api_call,170,B,2025-12-25 15:50:00,2025-12-25 16:18:00,v3.6,NA-East
64,7000021,api_call,31,B,2026-04-23 21:25:00,2026-04-23 21:54:00,v4.8,NA-West
65,7000021,login,186,B,2026-01-03 16:22:00,2026-01-03 16:24:00,v4.0,APAC
66,7000021,job_run,181,B,2026-03-12 11:22:00,2026-03-12 11:35:00,v3.7,APAC
67,7000021,api_call,155,A,2026-01-20 13:55:00,2026-01-20 14:03:00,v5.5,LATAM
68,7000021,export,24,A,2026-06-20 00:51:00,2026-06-20 01:20:00,v3.5,LATAM
69,7000021,api_call,53,B,2026-02-27 09:19:00,2026-02-27 09:21:00,v3.7,NA-West
70,7000021,dashboard_view,146,control,2025-12-22 04:58:00,2025-12-22 05:11:00,v4.1,NA-West
71,7000021,job_run,152,control,2026-02-26 21:58:00,2026-02-26 22:17:00,v3.3,EMEA
72,7000021,dashboard_view,104,B,2026-01-06 17:08:00,2026-01-06 17:20:00,v5.2,NA-West
73,7000028,export,120,B,2026-03-21 16:56:00,2026-03-21 17:10:00,v4.5,LATAM
74,7000028,export,14,control,2025-11-29 07:48:00,2025-11-29 07:59:00,v3.5,NA-West
75,7000028,export,98,A,2026-01-02 02:45:00,2026-01-02 02:51:00,v5.1,EMEA
76,7000028,job_run,94,B,2025-11-29 07:58:00,2025-11-29 08:14:00,v4.6,NA-East
77,7000028,login,25,B,2026-04-20 07:13:00,2026-04-20 07:33:00,v4.2,APAC
78,7000028,job_run,46,B,2025-11-20 02:41:00,2025-11-20 03:01:00,v3.6,NA-West
79,7000028,api_call,167,B,2026-04-03 10:45:00,2026-04-03 11:05:00,v4.3,APAC
80,7000028,job_run,127,B,2026-05-04 09:44:00,2026-05-04 10:11:00,v4.4,EMEA
81,7000028,api_call,93,A,2026-05-23 10:59:00,2026-05-23 11:11:00,v5.0,LATAM
82,7000028,export,202,A,2026-04-26 15:35:00,2026-04-26 15:46:00,v5.7,EMEA
83,7000028,job_run,27,control,2026-07-13 12:01:00,2026-07-13 12:29:00,v4.3,APAC
84,7000035,export,177,A,2026-05-02 07:45:00,2026-05-02 07:56:00,v3.4,NA-West
85,7000035,export,90,A,2026-07-15 12:36:00,2026-07-15 12:57:00,v4.5,NA-West
86,7000035,dashboard_view,169,control,2025-12-11 16:35:00,2025-12-11 16:47:00,v5.3,NA-West
87,7000035,api_call,199,control,2026-01-08 02:35:00,2026-01-08 03:00:00,v4.6,NA-East
88,7000035,api_call,92,control,2026-03-05 09:05:00,2026-03-05 09:23:00,v4.8,NA-West
89,7000035,login,71,B,2025-12-30 12:51:00,2025-12-30 12:58:00,v3.3,LATAM
90,7000035,dashboard_view,118,control,2026-03-19 13:55:00,2026-03-19 14:07:00,v5.1,NA-West
91,7000035,export,141,A,2026-04-14 04:08:00,2026-04-14 04:18:00,v5.6,LATAM
92,7000035,login,203,B,2026-05-24 03:08:00,2026-05-24 03:21:00,v4.8,LATAM
93,7000042,job_run,90,control,2026-04-26 04:22:00,2026-04-26 04:50:00,v3.5,NA-West
94,7000042,export,40,A,2026-06-07 08:00:00,2026-06-07 08:29:00,v4.8,NA-West
95,7000042,api_call,175,control,2025-12-15 23:46:00,2025-12-16 00:07:00,v4.2,APAC
96,7000042,export,162,control,2026-03-15 04:11:00,2026-03-15 04:27:00,v5.7,LATAM
97,7000042,api_call,13,control,2025-12-23 14:09:00,2025-12-23 14:15:00,v5.3,NA-West
98,7000042,job_run,3,B,2026-03-19 20:37:00,2026-03-19 20:41:00,v5.7,NA-East
99,7000042,login,211,control,2026-01-30 03:45:00,2026-01-30 04:09:00,v4.6,LATAM
100,7000042,dashboard_view,150,control,2026-06-16 15:27:00,2026-06-16 15:54:00,v3.8,NA-East
101,7000042,export,213,B,2026-01-06 10:32:00,2026-01-06 10:52:00,v3.0,NA-West
102,7000042,export,169,A,2026-07-09 01:15:00,2026-07-09 01:40:00,v3.2,EMEA
103,7000042,dashboard_view,110,A,2026-04-29 23:11:00,2026-04-29 23:16:00,v5.3,NA-East
104,7000042,login,117,B,2026-07-02 01:06:00,2026-07-02 01:26:00,v4.0,NA-West
105,7000042,export,92,B,2025-12-02 05:37:00,2025-12-02 05:57:00,v5.4,NA-West
106,7000042,job_run,173,B,2026-06-09 19:33:00,2026-06-09 19:38:00,v3.7,APAC
107,7000042,dashboard_view,155,control,2026-07-02 18:39:00,2026-07-02 18:52:00,v3.4,NA-West
108,7000042,dashboard_view,42,A,2026-07-06 04:09:00,2026-07-06 04:18:00,v3.0,LATAM
109,7000042,api_call,81,A,2025-12-12 11:24:00,2025-12-12 11:32:00,v4.6,NA-West
110,7000042,export,84,A,2026-01-23 04:55:00,2026-01-23 04:57:00,v3.4,LATAM
111,7000042,login,72,B,2026-03-10 17:32:00,2026-03-10 17:34:00,v3.6,APAC
112,7000042,dashboard_view,106,A,2026-07-08 18:00:00,2026-07-08 18:06:00,v4.6,NA-West
113,7000042,job_run,23,B,2025-12-12 04:52:00,2025-12-12 05:11:00,v4.7,EMEA
114,7000042,login,72,control,2026-02-06 09:54:00,2026-02-06 10:14:00,v3.0,NA-East
115,7000049,job_run,9,A,2026-05-15 00:49:00,2026-05-15 01:07:00,v4.0,APAC
116,7000049,api_call,41,B,2025-12-11 10:30:00,2025-12-11 10:49:00,v3.4,EMEA
117,7000049,dashboard_view,96,B,2026-06-09 11:30:00,2026-06-09 11:38:00,v5.0,NA-East
118,7000049,job_run,36,control,2026-04-09 20:29:00,2026-04-09 20:44:00,v3.2,LATAM
119,7000049,dashboard_view,137,B,2026-05-14 19:25:00,2026-05-14 19:54:00,v3.2,EMEA
120,7000049,api_call,125,A,2026-01-17 00:23:00,2026-01-17 00:29:00,v3.0,EMEA
121,7000049,api_call,94,B,2026-01-29 23:54:00,2026-01-30 00:04:00,v4.1,LATAM
122,7000049,api_call,92,B,2025-12-13 05:30:00,2025-12-13 05:54:00,v5.6,LATAM
123,7000049,login,55,B,2026-05-22 10:41:00,2026-05-22 10:51:00,v5.3,NA-East
124,7000049,export,183,A,2026-01-29 07:22:00,2026-01-29 07:25:00,v5.4,APAC
125,7000049,login,51,control,2026-01-09 02:26:00,2026-01-09 02:46:00,v5.5,EMEA
126,7000049,job_run,168,B,2026-05-06 23:03:00,2026-05-06 23:19:00,v5.6,NA-West
127,7000056,job_run,123,control,2025-11-22 07:33:00,2025-11-22 07:38:00,v5.0,APAC
128,7000056,dashboard_view,35,A,2026-04-18 05:02:00,2026-04-18 05:21:00,v5.2,EMEA
129,7000056,export,140,A,2026-06-26 03:49:00,2026-06-26 04:05:00,v5.3,NA-East
130,7000056,job_run,142,B,2026-05-24 19:56:00,2026-05-24 20:21:00,v4.4,EMEA
131,7000056,api_call,35,B,2026-04-25 00:16:00,2026-04-25 00:21:00,v4.1,EMEA
132,7000056,job_run,24,B,2026-01-31 05:56:00,2026-01-31 06:01:00,v4.7,NA-West
133,7000056,api_call,20,A,2026-04-29 16:49:00,2026-04-29 16:56:00,v3.5,NA-East
134,7000056,api_call,203,control,2026-05-31 14:17:00,2026-05-31 14:35:00,v3.2,APAC
135,7000056,job_run,205,control,2026-03-07 04:26:00,2026-03-07 04:55:00,v5.0,APAC
136,7000056,export,217,B,2026-05-06 18:37:00,2026-05-06 18:57:00,v4.2,NA-West
137,7000056,job_run,206,control,2026-05-30 08:10:00,2026-05-30 08:24:00,v5.6,APAC
138,7000056,export,108,control,2026-05-14 22:08:00,2026-05-14 22:24:00,v5.8,NA-East
139,7000056,api_call,66,A,2026-06-01 20:23:00,2026-06-01 20:39:00,v4.3,APAC
140,7000056,api_call,194,control,2026-01-27 23:10:00,2026-01-27 23:21:00,v5.2,NA-West
141,7000056,api_call,15,control,2026-07-13 15:18:00,2026-07-13 15:42:00,v4.6,APAC
142,7000056,dashboard_view,144,A,2026-07-15 15:44:00,2026-07-15 16:08:00,v3.4,EMEA
143,7000056,job_run,80,B,2026-01-13 21:22:00,2026-01-13 21:49:00,v3.0,APAC
144,7000056,job_run,166,control,2026-04-18 18:47:00,2026-04-18 18:54:00,v3.5,NA-East
145,7000063,api_call,82,control,2026-04-05 21:24:00,2026-04-05 21:47:00,v5.8,EMEA
146,7000063,job_run,132,B,2026-06-09 02:18:00,2026-06-09 02:30:00,v5.3,LATAM
147,7000063,job_run,54,A,2025-11-19 21:51:00,2025-11-19 22:17:00,v4.1,LATAM
148,7000063,login,185,A,2026-01-18 23:13:00,2026-01-18 23:21:00,v5.7,NA-West
149,7000063,login,69,A,2026-01-26 03:30:00,2026-01-26 03:59:00,v5.8,NA-West
150,7000063,export,99,control,2026-06-18 20:09:00,2026-06-18 20:16:00,v5.0,NA-East
151,7000063,login,2,B,2026-02-27 12:40:00,2026-02-27 12:55:00,v3.1,EMEA
152,7000063,dashboard_view,139,A,2026-05-29 06:21:00,2026-05-29 06:41:00,v4.5,LATAM
153,7000063,dashboard_view,162,A,2026-02-25 13:07:00,2026-02-25 13:28:00,v3.0,NA-East
154,7000063,api_call,103,B,2026-03-22 03:23:00,2026-03-22 03:35:00,v3.1,NA-East
155,7000063,dashboard_view,36,B,2026-07-15 12:23:00,2026-07-15 12:49:00,v5.2,NA-West
156,7000063,job_run,56,A,2026-05-22 11:54:00,2026-05-22 12:07:00,v3.1,NA-West
157,7000063,export,32,B,2026-05-23 10:48:00,2026-05-23 11:06:00,v3.5,APAC
158,7000063,job_run,55,control,2026-02-05 03:59:00,2026-02-05 04:20:00,v5.4,NA-West
159,7000063,login,156,B,2026-01-30 17:23:00,2026-01-30 17:52:00,v4.3,EMEA
160,7000070,api_call,173,A,2026-03-28 03:30:00,2026-03-28 03:48:00,v4.0,NA-East
161,7000070,job_run,86,A,2026-07-02 12:29:00,2026-07-02 12:35:00,v3.4,NA-West
162,7000070,export,108,A,2025-12-21 06:49:00,2025-12-21 07:11:00,v4.3,LATAM
163,7000070,job_run,172,A,2026-02-24 04:57:00,2026-02-24 04:59:00,v5.2,NA-West
164,7000070,dashboard_view,192,A,2026-04-29 01:51:00,2026-04-29 02:20:00,v3.2,APAC
165,7000070,dashboard_view,7,B,2026-04-01 00:10:00,2026-04-01 00:39:00,v4.5,NA-East
166,7000077,api_call,74,A,2026-03-04 10:59:00,2026-03-04 11:17:00,v4.3,EMEA
167,7000077,job_run,19,B,2026-06-24 22:13:00,2026-06-24 22:37:00,v3.1,NA-West
168,7000077,api_call,110,control,2026-03-09 21:44:00,2026-03-09 22:13:00,v3.6,LATAM
169,7000077,export,83,control,2025-12-28 13:10:00,2025-12-28 13:13:00,v3.1,NA-West
170,7000077,dashboard_view,170,control,2026-01-30 11:27:00,2026-01-30 11:46:00,v4.7,NA-West
171,7000077,api_call,137,A,2026-02-24 17:02:00,2026-02-24 17:04:00,v4.3,NA-West
172,7000084,export,41,B,2026-04-23 09:55:00,2026-04-23 09:56:00,v5.0,APAC
173,7000084,dashboard_view,218,B,2026-04-04 03:26:00,2026-04-04 03:53:00,v3.3,EMEA
174,7000084,login,154,B,2026-06-28 08:50:00,2026-06-28 09:03:00,v5.6,NA-East
175,7000084,api_call,76,control,2026-06-13 06:16:00,2026-06-13 06:32:00,v4.1,APAC
176,7000084,api_call,24,B,2026-01-27 02:41:00,2026-01-27 02:44:00,v5.2,EMEA
177,7000084,job_run,54,control,2026-03-18 12:48:00,2026-03-18 12:52:00,v5.7,EMEA
178,7000084,export,65,A,2026-07-04 01:11:00,2026-07-04 01:32:00,v5.7,EMEA
179,7000084,api_call,184,A,2025-11-25 18:18:00,2025-11-25 18:31:00,v4.2,NA-East
180,7000084,dashboard_view,9,B,2026-05-24 02:15:00,2026-05-24 02:32:00,v4.0,EMEA
181,7000084,api_call,73,B,2026-05-09 15:17:00,2026-05-09 15:20:00,v5.1,LATAM
182,7000091,login,212,A,2026-02-15 09:03:00,2026-02-15 09:12:00,v5.0,LATAM
183,7000091,job_run,74,B,2026-07-03 05:22:00,2026-07-03 05:37:00,v5.6,NA-East
184,7000091,dashboard_view,56,B,2025-11-19 20:31:00,2025-11-19 20:54:00,v4.7,LATAM
185,7000091,login,37,B,2026-01-28 17:30:00,2026-01-28 17:34:00,v3.3,APAC
186,7000091,export,188,B,2026-02-18 02:39:00,2026-02-18 02:42:00,v4.6,NA-West
187,7000091,job_run,91,control,2026-04-12 13:36:00,2026-04-12 13:42:00,v3.4,NA-West
188,7000091,api_call,148,A,2026-06-19 19:16:00,2026-06-19 19:20:00,v5.6,APAC
189,7000091,dashboard_view,49,A,2026-03-05 00:59:00,2026-03-05 01:11:00,v3.6,EMEA
190,7000091,job_run,179,control,2026-04-14 13:44:00,2026-04-14 13:58:00,v4.0,LATAM
191,7000091,dashboard_view,115,B,2025-12-18 09:37:00,2025-12-18 09:46:00,v4.2,LATAM
192,7000091,api_call,127,A,2026-01-29 12:13:00,2026-01-29 12:38:00,v4.5,EMEA
193,7000091,job_run,103,control,2025-12-06 21:03:00,2025-12-06 21:04:00,v3.7,EMEA
194,7000091,dashboard_view,185,A,2026-01-08 06:15:00,2026-01-08 06:23:00,v4.7,NA-East
195,7000091,api_call,135,control,2026-04-15 22:45:00,2026-04-15 23:01:00,v5.1,APAC
196,7000091,job_run,67,B,2025-12-23 20:09:00,2025-12-23 20:31:00,v3.8,NA-East
197,7000091,login,157,A,2025-11-21 00:09:00,2025-11-21 00:30:00,v3.0,EMEA
198,7000098,export,81,B,2026-06-25 21:29:00,2026-06-25 21:52:00,v4.7,NA-West
199,7000098,login,85,control,2026-03-04 14:40:00,2026-03-04 14:50:00,v4.7,NA-East
200,7000098,export,18,control,2026-02-05 14:36:00,2026-02-05 14:42:00,v5.1,NA-East
201,7000098,login,118,B,2026-05-07 06:09:00,2026-05-07 06:30:00,v5.0,APAC
202,7000098,dashboard_view,44,control,2025-12-16 00:41:00,2025-12-16 00:55:00,v5.6,NA-East
203,7000098,dashboard_view,39,A,2026-06-01 06:24:00,2026-06-01 06:53:00,v3.4,LATAM
204,7000098,login,22,B,2026-02-22 10:03:00,2026-02-22 10:09:00,v3.0,APAC
205,7000098,login,118,A,2026-04-20 04:38:00,2026-04-20 04:57:00,v5.2,APAC
206,7000098,api_call,55,B,2026-03-07 08:12:00,2026-03-07 08:19:00,v3.8,EMEA
207,7000098,login,193,control,2026-06-21 20:53:00,2026-06-21 21:04:00,v3.8,NA-East
208,7000098,dashboard_view,213,B,2025-11-29 17:35:00,2025-11-29 17:55:00,v3.8,LATAM
209,7000098,api_call,173,control,2026-05-17 12:31:00,2026-05-17 12:32:00,v3.5,APAC
210,7000098,dashboard_view,95,B,2026-01-06 16:21:00,2026-01-06 16:43:00,v4.7,NA-West
211,7000098,job_run,15,control,2026-02-02 04:43:00,2026-02-02 05:10:00,v4.6,EMEA
212,7000098,export,217,control,2026-01-23 01:00:00,2026-01-23 01:07:00,v4.2,LATAM
213,7000098,export,144,control,2026-01-19 10:13:00,2026-01-19 10:30:00,v5.1,NA-East
214,7000098,api_call,109,control,2026-07-03 09:37:00,2026-07-03 09:57:00,v3.2,EMEA
215,7000098,dashboard_view,146,A,2026-02-14 10:50:00,2026-02-14 11:12:00,v3.6,APAC
216,7000098,login,185,control,2026-01-29 03:55:00,2026-01-29 04:18:00,v3.7,NA-West
217,7000098,dashboard_view,33,control,2026-06-25 12:44:00,2026-06-25 12:56:00,v5.8,LATAM
218,7000098,api_call,181,control,2026-05-05 04:41:00,2026-05-05 04:59:00,v3.4,APAC
219,7000098,login,138,B,2025-11-26 11:30:00,2025-11-26 11:50:00,v3.2,LATAM
220,7000098,login,151,control,2025-12-02 09:25:00,2025-12-02 09:45:00,v3.0,NA-East
221,7000098,export,145,control,2026-03-28 22:39:00,2026-03-28 22:55:00,v5.7,APAC
222,7000098,job_run,110,A,2026-07-08 19:32:00,2026-07-08 20:00:00,v5.6,APAC
223,7000098,dashboard_view,33,B,2026-01-12 00:48:00,2026-01-12 01:17:00,v4.8,EMEA
224,7000098,api_call,44,A,2026-04-25 12:55:00,2026-04-25 13:16:00,v3.0,NA-East
225,7000105,dashboard_view,67,A,2025-12-27 08:16:00,2025-12-27 08:37:00,v3.6,EMEA
226,7000105,export,112,A,2026-03-25 12:12:00,2026-03-25 12:34:00,v5.2,APAC
227,7000105,job_run,95,control,2026-01-23 09:35:00,2026-01-23 09:52:00,v5.0,APAC
228,7000105,export,210,B,2026-06-21 18:19:00,2026-06-21 18:25:00,v5.2,EMEA
229,7000105,api_call,196,B,2026-06-22 19:41:00,2026-06-22 19:42:00,v3.0,NA-East
230,7000105,login,74,B,2025-11-28 04:57:00,2025-11-28 05:04:00,v3.7,NA-West
231,7000105,api_call,142,A,2026-03-28 07:54:00,2026-03-28 08:14:00,v5.6,NA-East
232,7000105,login,40,control,2026-04-30 07:13:00,2026-04-30 07:24:00,v5.8,NA-East
233,7000105,export,127,B,2026-03-20 06:06:00,2026-03-20 06:23:00,v4.6,LATAM
234,7000105,login,87,B,2026-02-10 21:34:00,2026-02-10 21:52:00,v3.7,NA-West
235,7000112,login,94,B,2026-01-15 14:56:00,2026-01-15 14:58:00,v5.2,NA-East
236,7000112,login,28,B,2026-02-09 14:55:00,2026-02-09 15:10:00,v5.2,EMEA
237,7000112,job_run,82,A,2026-03-03 01:51:00,2026-03-03 02:20:00,v4.0,APAC
238,7000112,job_run,160,B,2026-07-02 11:15:00,2026-07-02 11:41:00,v5.0,NA-East
239,7000112,api_call,182,A,2026-03-02 08:36:00,2026-03-02 09:00:00,v4.0,NA-West
240,7000112,api_call,158,control,2025-12-10 09:39:00,2025-12-10 09:40:00,v5.2,LATAM
241,7000112,api_call,134,control,2025-12-14 18:12:00,2025-12-14 18:30:00,v4.5,EMEA
242,7000112,login,140,B,2026-03-13 09:11:00,2026-03-13 09:18:00,v4.6,NA-East
243,7000112,job_run,56,control,2026-02-04 23:19:00,2026-02-04 23:43:00,v3.4,APAC
244,7000112,job_run,142,B,2026-03-23 22:24:00,2026-03-23 22:50:00,v3.3,LATAM
245,7000112,export,118,A,2026-04-17 22:13:00,2026-04-17 22:15:00,v5.6,LATAM
246,7000112,export,134,control,2026-06-13 10:28:00,2026-06-13 10:46:00,v4.8,EMEA
247,7000112,dashboard_view,188,B,2026-07-15 17:37:00,2026-07-15 17:50:00,v5.2,EMEA
248,7000112,login,19,control,2026-05-18 00:59:00,2026-05-18 01:23:00,v5.8,NA-West
249,7000119,dashboard_view,14,B,2026-04-03 21:42:00,2026-04-03 22:00:00,v5.0,LATAM
250,7000119,api_call,131,control,2026-07-03 22:06:00,2026-07-03 22:21:00,v4.3,EMEA
251,7000119,api_call,121,control,2026-01-09 23:46:00,2026-01-09 23:49:00,v4.7,APAC
252,7000119,api_call,192,control,2025-12-11 10:44:00,2025-12-11 11:09:00,v4.4,NA-West
253,7000119,login,48,control,2026-03-03 16:32:00,2026-03-03 16:42:00,v5.4,APAC
254,7000119,export,203,A,2025-12-07 00:37:00,2025-12-07 00:51:00,v3.5,APAC
255,7000119,api_call,82,B,2025-12-06 04:56:00,2025-12-06 05:20:00,v4.0,EMEA
256,7000119,login,162,control,2026-06-16 16:16:00,2026-06-16 16:34:00,v4.5,NA-West
257,7000119,job_run,91,control,2026-05-28 05:08:00,2026-05-28 05:27:00,v3.5,EMEA
258,7000119,login,149,control,2026-04-02 11:06:00,2026-04-02 11:26:00,v5.5,NA-East
259,7000119,job_run,210,B,2026-06-15 19:07:00,2026-06-15 19:25:00,v4.1,NA-East
260,7000119,api_call,196,B,2026-03-26 08:17:00,2026-03-26 08:32:00,v5.7,EMEA
261,7000119,api_call,138,A,2026-03-14 00:43:00,2026-03-14 01:00:00,v5.3,APAC
262,7000119,api_call,39,A,2026-04-04 10:59:00,2026-04-04 11:18:00,v4.5,NA-East
263,7000119,dashboard_view,217,B,2026-02-04 01:57:00,2026-02-04 02:12:00,v5.6,LATAM
264,7000119,login,68,A,2026-01-28 05:11:00,2026-01-28 05:32:00,v4.1,NA-West
265,7000119,job_run,68,control,2026-05-08 03:27:00,2026-05-08 03:34:00,v3.4,LATAM
266,7000119,dashboard_view,115,A,2026-06-10 08:48:00,2026-06-10 09:02:00,v4.7,APAC
267,7000119,job_run,154,A,2026-03-17 02:50:00,2026-03-17 02:54:00,v4.3,NA-West
268,7000119,export,209,control,2026-06-03 19:59:00,2026-06-03 20:14:00,v4.1,LATAM
269,7000119,dashboard_view,148,control,2026-05-02 07:21:00,2026-05-02 07:32:00,v5.2,NA-East
270,7000119,dashboard_view,121,A,2026-03-22 08:55:00,2026-03-22 09:09:00,v4.5,NA-West
271,7000119,api_call,104,B,2026-03-07 07:42:00,2026-03-07 07:49:00,v3.5,NA-West
272,7000119,api_call,91,control,2026-03-20 19:35:00,2026-03-20 20:00:00,v4.2,NA-East
273,7000119,login,190,B,2026-01-24 15:08:00,2026-01-24 15:29:00,v4.3,EMEA
274,7000119,login,124,control,2026-05-18 18:24:00,2026-05-18 18:28:00,v3.6,NA-East
275,7000119,export,47,B,2026-06-21 18:47:00,2026-06-21 19:12:00,v3.2,EMEA
276,7000119,job_run,18,B,2026-04-09 20:53:00,2026-04-09 21:17:00,v3.8,APAC
277,7000119,dashboard_view,105,control,2025-11-25 20:17:00,2025-11-25 20:34:00,v3.4,EMEA
