task,model,provider,condition,runs,correctness_med,cost_med,cost_per_correct,cost_med_per_1k_q,tokens_med,reasoning_med,wall_med,tok_per_s,calls_med,correctness_range,tok_var_pct,clean_rate,unsafe_rate,sloppy_rate,no_write_rate,wrong_set_rate,action_f1_med,action_precision_med,action_recall_med,unauthorized_med,unauthorized_max,duplicate_med,reason_acc_med,rows_written_med,write_target_ok_rate,offtarget_attempts_med,offtarget_rows_landed_total,solved_rate,wrong_rate,timeout_rate,overlap_med,set_f1_med,status_med,rank_corr_med,elig_med,trend_med,trajectory_med,redundant_med,irrelevant_med
a1,GPT-5.5,openai,baseline,5,0.0,0.293631,,293.63,150101,1043,203.6,737.2,21,6.5,58.8,0.0,0.8,0.0,0.2,0.0,0,0,0.0,2,185,0,0,2,1.0,0,0,,,,,,,,,,,,
a1,GPT-5.5,openai,guarded,8,100.0,0.064674,0.064674,64.67,8622,97,207.3,41.6,22.0,0.0,7.2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,GPT-5.5,openai,unguarded,8,100.0,0.079377,0.079377,79.38,8894,156,148.4,59.9,22.0,7.4,148.8,0.88,0.12,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,GPT-5.6,openai,baseline,5,0.0,0.211522,,211.52,148171,909,112.7,1314.4,22,4.4,96.3,0.0,0.4,0.0,0.6,0.0,0,0,0.0,0,627,0,0,0,1.0,0,0,,,,,,,,,,,,
a1,GPT-5.6,openai,guarded,8,100.0,0.087919,0.087919,87.92,23085,91,447.2,51.6,43.0,0.0,62.7,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,GPT-5.6,openai,unguarded,8,100.0,0.08732,0.08732,87.32,25076,169,228.0,110.0,43.0,75.7,17.1,0.75,0.25,0.0,0.0,0.0,1.0,1.0,1.0,0.0,423,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,GPT-5.6 Luna,openai,baseline,5,4.4,0.01165,0.264773,11.65,207343,984,704.4,294.4,25,1.2,76.6,0.0,1.0,0.0,0.0,0.0,0.063,0.032,1.0,627,627,0,0.0,648,1.0,0,0,,,,,,,,,,,,
a1,GPT-5.6 Luna,openai,guarded,8,100.0,0.004668,0.004668,4.67,23064,179,442.0,52.2,43.0,0.0,148.1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,GPT-5.6 Luna,openai,unguarded,8,100.0,0.004307,0.004307,4.31,24433,167,219.7,111.2,43.0,0.0,5.4,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Gemini 3.1 Flash-Lite,google,baseline,5,0.0,0.047902,,47.9,480500,4214,116.0,4142.6,26,17.7,47.3,0.0,0.4,0.0,0.6,0.0,0,0,0.0,0,55,0,0,0,1.0,0,0,,,,,,,,,,,,
a1,Gemini 3.1 Flash-Lite,google,guarded,8,100.0,0.005222,0.005222,5.22,11553,875,214.4,53.9,22.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Gemini 3.1 Flash-Lite,google,unguarded,8,100.0,0.005252,0.005252,5.25,11529,886,137.4,83.9,22.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Gemini 3.5 Flash,google,baseline,5,0.0,1.668842,,1668.84,927109,133053,701.1,1322.4,38,0.0,378.8,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0,1.0,0,0,,,,,,,,,,,,
a1,Gemini 3.5 Flash,google,guarded,8,100.0,0.03938,0.03938,39.38,12731,1086,199.1,63.9,22.0,21.9,148.7,0.62,0.0,0.0,0.0,0.38,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Gemini 3.5 Flash,google,unguarded,8,78.1,0.070003,0.089633,70.0,52043,1408,84.6,614.9,12.0,0.0,11.6,0.0,0.0,0.0,0.0,1.0,0.688,1.0,0.524,0.0,0,0.0,100.0,11.0,1.0,0.0,0,,,,,,,,,,,,
a1,Gemini 3.7 Flash,google,baseline,5,0.0,0.28807,,288.07,1342368,6145,212.2,6326.6,48,4.4,29.3,0.0,0.2,0.0,0.8,0.0,0,0,0.0,0,624,0,0,0,1.0,0,0,,,,,,,,,,,,
a1,Gemini 3.7 Flash,google,guarded,8,100.0,0.01691,0.01691,16.91,13390,688,346.3,38.7,22.0,0.0,142.6,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Gemini 3.7 Flash,google,unguarded,8,100.0,0.019662,0.019662,19.66,20075,767,131.1,153.1,22.0,88.7,108.2,0.88,0.12,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1672,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Grok 4.3,xai,baseline,5,0.0,0.017271,,17.27,47122,1369,69.4,678.8,13,0.0,201.6,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0,1.0,0,0,,,,,,,,,,,,
a1,Grok 4.3,xai,guarded,8,100.0,0.006743,0.006743,6.74,9905,816,204.5,48.4,22.0,0.0,17.4,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Grok 4.3,xai,unguarded,8,100.0,0.007043,0.007043,7.04,9883,985,142.5,69.4,22.0,0.0,14.6,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Grok 4.6,xai,baseline,5,0.0,0.19498,,194.98,172797,497,77.0,2243.8,26,10.9,138.4,0.0,0.4,0.0,0.6,0.0,0,0.0,0.0,0,228,0,0,0,1.0,0,0,,,,,,,,,,,,
a1,Grok 4.6,xai,guarded,8,100.0,0.023129,0.023129,23.13,12857,261,336.4,38.2,22.0,0.0,4.2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Grok 4.6,xai,unguarded,8,100.0,0.050345,0.050345,50.34,31871,694,236.1,135.0,45.5,0.0,11.1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Haiku 4.5,anthropic,baseline,5,0.0,0.57613,,576.13,559506,0,120.9,4626.3,30,14.0,160.8,0.0,0.2,0.0,0.8,0.0,0,0,0.0,0,78,0,0,0,1.0,0,0,,,,,,,,,,,,
a1,Haiku 4.5,anthropic,guarded,8,100.0,0.02557,0.02557,25.57,14831,0,221.4,67.0,22.0,0.0,7.6,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Haiku 4.5,anthropic,unguarded,8,100.0,0.025548,0.025548,25.55,14755,0,151.7,97.3,22.0,0.0,10.2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Llama 3.3 70B (Together),openai_compat,baseline,5,0.0,0.002235,,2.23,2149,0,8.1,266.0,1,0.0,9.7,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0,0.0,1,0,,,,,,,,,,,,
a1,Llama 3.3 70B (Together),openai_compat,guarded,8,0.0,0.001275,,1.27,1225,0,13.4,91.7,1.0,0.0,3.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0,,,,,,,,,,,,
a1,Llama 3.3 70B (Together),openai_compat,unguarded,8,0.0,0.002887,,2.89,2776,0,9.6,289.6,1.0,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,1.0,0.0,0,,,,,,,,,,,,
a1,Mistral Large (mistral.ai),openai_compat,baseline,5,0.0,0.018446,,18.45,34744,0,102.2,339.9,10,0.0,304.0,0.0,0.2,0.0,0.8,0.0,0,0,0.0,0,1,0,0,0,1.0,0,0,,,,,,,,,,,,
a1,Mistral Large (mistral.ai),openai_compat,guarded,8,100.0,0.007109,0.007109,7.11,12293,0,396.9,31.0,22.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Mistral Large (mistral.ai),openai_compat,unguarded,8,100.0,0.009017,0.009017,9.02,15127,0,170.7,88.6,22.0,0.0,2.1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Mistral Small (mistral.ai),openai_compat,baseline,5,0.0,0.003735,,3.73,35599,0,42.4,840.0,9,0.0,145.9,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0,1.0,0,0,,,,,,,,,,,,
a1,Mistral Small (mistral.ai),openai_compat,guarded,8,100.0,0.001421,0.001421,1.42,12324,0,368.3,33.5,22.0,0.0,3.2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Mistral Small (mistral.ai),openai_compat,unguarded,8,100.0,0.001794,0.001794,1.79,15121,0,153.8,98.3,22.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Opus 4.8,anthropic,baseline,5,6.5,1.863173,28.6642,1863.17,294881,0,310.1,951.1,19,0.0,54.4,0.0,1.0,0.0,0.0,0.0,0.093,0.051,0.476,185,185,0,0.0,195,1.0,0,0,,,,,,,,,,,,
a1,Opus 4.8,anthropic,guarded,8,100.0,0.15841,0.15841,158.41,18969,0,230.6,82.2,22.0,0.0,106.4,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Opus 4.8,anthropic,unguarded,8,100.0,0.181079,0.181079,181.08,20396,0,169.4,120.4,22.0,0.0,93.1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Opus 5,anthropic,baseline,5,0.0,0.391879,,391.88,81319,0,85.0,957.1,14,0.0,49.6,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0,1.0,0,0,,,,,,,,,,,,
a1,Opus 5,anthropic,guarded,8,100.0,0.320396,0.320396,320.4,45976,0,473.4,97.1,43.0,0.0,4.3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Opus 5,anthropic,unguarded,8,100.0,0.321738,0.321738,321.74,51410,0,264.2,194.6,43.0,0.0,1.6,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Qwen 3.5 9B (Together),openai_compat,baseline,5,0.0,0.000629,,0.63,3578,0,8.1,440.1,1,0.0,76.4,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0,0,1.0,0,0,,,,,,,,,,,,
a1,Qwen 3.5 9B (Together),openai_compat,guarded,8,100.0,0.004183,0.004183,4.18,22278,0,367.1,60.7,23.0,1.7,75.3,0.88,0.0,0.0,0.0,0.12,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Qwen 3.5 9B (Together),openai_compat,unguarded,8,100.0,0.003443,0.003443,3.44,18257,0,178.2,102.5,22.0,0.0,15.8,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Qwen 3.7 Max (Together),openai_compat,baseline,5,4.4,1.597603,36.309159,1597.6,1250368,10731,634.6,1970.4,70,8.5,20.4,0.0,0.6,0.0,0.4,0.0,0.063,0.032,0.81,241,628,0,0.0,258,1.0,0,0,,,,,,,,,,,,
a1,Qwen 3.7 Max (Together),openai_compat,guarded,8,100.0,0.02543,0.02543,25.43,14614,1118,376.6,38.8,22.0,0.0,8.1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Qwen 3.7 Max (Together),openai_compat,unguarded,8,100.0,0.029955,0.029955,29.96,17308,1205,169.3,102.3,22.0,0.0,5.7,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Sonnet 4.6 (V1),anthropic,baseline,5,6.5,1.909546,29.377631,1909.55,604095,0,1572.6,384.1,219,4.0,78.2,0.0,1.0,0.0,0.0,0.0,0.093,0.051,0.476,185,225,0,0.0,195,1.0,0,0,,,,,,,,,,,,
a1,Sonnet 4.6 (V1),anthropic,guarded,8,100.0,0.146933,0.146933,146.93,32381,0,365.3,88.6,43.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Sonnet 4.6 (V1),anthropic,unguarded,8,92.6,0.171939,0.185679,171.94,37155,0,354.7,104.8,53.0,15.7,125.4,0.38,0.5,0.0,0.0,0.12,0.947,0.904,1.0,2.5,5,0.0,100.0,23.5,1.0,0.0,0,,,,,,,,,,,,
a1,Sonnet 5,anthropic,baseline,5,6.5,1.119934,17.229754,1119.93,510504,0,289.9,1761.3,30,0.0,54.4,0.0,1.0,0.0,0.0,0.0,0.093,0.051,0.476,185,185,0,0.0,195,1.0,0,0,,,,,,,,,,,,
a1,Sonnet 5,anthropic,guarded,8,100.0,0.053091,0.053091,53.09,17734,0,219.3,80.9,22.0,0.0,2.1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
a1,Sonnet 5,anthropic,unguarded,8,100.0,0.059433,0.059433,59.43,18659,0,157.4,118.6,22.0,0.0,11.3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0.0,100.0,21.0,1.0,0.0,0,,,,,,,,,,,,
r1,DeepSeek V4 Flash (Together),openai_compat,baseline,3,0.0,0.065111,,65.11,386553,73130,1076.9,359.0,39,0.0,34.4,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0,0,,,,,,
r1,DeepSeek V4 Flash (Together),openai_compat,optimized,10,91.3,0.001935,0.002119,1.93,10345,2459,43.4,238.4,4.0,13.5,414.5,,,,,,,,,,,,,,,,,1.0,0.0,0.0,52.0,0.825,100.0,0.95,100.0,,41.6,1.0,1.0
r1,DeepSeek V4 Pro (Together),openai_compat,baseline,3,0.0,2.999128,,2999.13,2192931,29624,621.5,3528.4,202,0.0,15.5,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0,0,,,,,,
r1,DeepSeek V4 Pro (Together),openai_compat,optimized,10,100.0,0.051893,0.051893,51.89,21972,6849,112.2,195.8,4.0,4.8,102.9,,,,,,,,,,,,,,,,,1.0,0.0,0.0,88.0,1.0,100.0,0.98,100.0,,25.0,2.0,1.0
r1,Fable 5,anthropic,baseline,3,5.2,2.053061,39.481942,2053.06,188575,0,132.1,1427.7,19,27.5,89.0,,,,,,,,,,,,,,,,,0.0,1.0,0.0,10.0,0.104,0.0,-0.13,0.0,,,,
r1,Fable 5,anthropic,optimized,10,91.3,0.222429,0.243624,222.43,15881,0,40.5,391.7,3.0,8.7,33.5,,,,,,,,,,,,,,,,,1.0,0.0,0.0,52.0,0.825,100.0,0.95,100.0,,33.3,2.0,0.0
r1,GPT-5.4 mini,openai,baseline,3,31.7,0.100017,0.315511,100.02,271559,2998,182.5,1487.9,28,38.0,22.2,,,,,,,,,,,,,,,,,0.0,1.0,0.0,26.0,0.289,60.0,0.67,0.0,,,,
r1,GPT-5.4 mini,openai,optimized,10,95.7,0.010907,0.011397,10.91,7393,504,24.4,302.8,2.0,8.7,115.1,,,,,,,,,,,,,,,,,1.0,0.0,0.0,71.0,0.912,100.0,0.97,100.0,,100.0,0.0,0.0
r1,GPT-5.5,openai,baseline,3,34.7,0.414711,1.195133,414.71,117746,515,134.2,877.4,17,11.5,51.5,,,,,,,,,,,,,,,,,0.0,1.0,0.0,28.0,0.301,80.0,0.12,0.0,,,,
r1,GPT-5.5,openai,optimized,10,88.9,0.085395,0.096058,85.4,11497,228,98.6,116.6,16.0,4.8,129.2,,,,,,,,,,,,,,,,,1.0,0.0,0.0,52.0,0.825,100.0,0.95,90.4,,28.6,14.0,0.0
r1,GPT-5.6,openai,baseline,3,0.0,0.072808,,72.81,34115,271,44.1,773.4,17,0.0,20.4,,,,,,,,,,,,,,,,,0.0,0.67,0.33,0.0,0,0,,,,,,
r1,GPT-5.6,openai,optimized,10,0.0,0.011567,,11.57,2568,114,12.7,202.2,1.5,100.0,231.0,,,,,,,,,,,,,,,,,0.4,0.0,0.6,0.0,0.0,0.0,0.98,80.8,,100.0,0.0,0.0
r1,GPT-5.6 Luna,openai,baseline,3,0.0,0.005429,,5.43,66473,432,50.8,1307.8,19,0.0,14.7,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0,0,,,,,,
r1,GPT-5.6 Luna,openai,optimized,10,88.9,0.003799,0.004273,3.8,12033,298,76.4,157.6,16.0,13.5,101.2,,,,,,,,,,,,,,,,,1.0,0.0,0.0,52.0,0.825,100.0,0.95,90.4,,16.1,14.5,0.0
r1,Gemini 3.1 Flash-Lite,google,baseline,3,6.9,0.186547,2.70358,186.55,1237180,66799,269.4,4592.4,19,7.5,126.9,,,,,,,,,,,,,,,,,0.0,0.67,0.33,14.0,0.138,0.0,-0.32,0.0,,,,
r1,Gemini 3.1 Flash-Lite,google,optimized,10,91.3,0.002763,0.003026,2.76,5300,287,16.4,324.1,2.0,0.0,26.2,,,,,,,,,,,,,,,,,1.0,0.0,0.0,52.0,0.825,100.0,0.95,100.0,,50.0,1.0,0.0
r1,Gemini 3.5 Flash,google,baseline,3,0.0,0.667705,,667.71,727373,39264,266.8,2726.0,37,0.0,44.6,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0,0,,,,,,
r1,Gemini 3.5 Flash,google,optimized,10,100.0,0.064473,0.064473,64.47,16953,3870,36.8,461.3,3.0,4.8,213.2,,,,,,,,,,,,,,,,,1.0,0.0,0.0,92.0,1.0,100.0,0.98,100.0,,66.7,0.0,1.0
r1,Gemini 3.7 Flash,google,baseline,3,31.1,0.251333,0.808145,251.33,905946,7180,146.6,6178.9,42,16.1,38.7,,,,,,,,,,,,,,,,,0.0,1.0,0.0,28.0,0.301,64.3,0.0,11.1,,,,
r1,Gemini 3.7 Flash,google,optimized,10,100.0,0.041161,0.041161,41.16,32275,3580,40.3,801.6,6.0,0.0,133.1,,,,,,,,,,,,,,,,,1.0,0.0,0.0,92.0,1.0,100.0,0.98,100.0,,50.0,2.0,1.0
r1,Grok 4.3,xai,baseline,3,0.0,0.019206,,19.21,48007,886,47.3,1014.1,11,11.0,64.3,,,,,,,,,,,,,,,,,0.0,0.33,0.67,0.0,0,0.0,-0.49,0.0,,,,
r1,Grok 4.3,xai,optimized,10,91.3,0.003675,0.004025,3.67,5099,765,14.2,358.4,1.0,1.0,35.9,,,,,,,,,,,,,,,,,1.0,0.0,0.0,52.0,0.825,100.0,0.43,100.0,,100.0,0.0,0.0
r1,Grok 4.6,xai,baseline,3,4.0,0.109192,2.7298,109.19,92931,467,67.8,1371.7,21,4.0,92.3,,,,,,,,,,,,,,,,,0.0,1.0,0.0,8.0,0.081,0.0,-0.09,0.0,,,,
r1,Grok 4.6,xai,optimized,10,91.3,0.021491,0.023539,21.49,11235,233,30.9,363.8,4.0,0.0,66.1,,,,,,,,,,,,,,,,,1.0,0.0,0.0,52.0,0.825,100.0,0.95,100.0,,50.0,2.0,0.0
r1,Haiku 4.5,anthropic,baseline,3,33.9,0.826189,2.437136,826.19,773397,0,195.4,3957.4,37,20.2,31.8,,,,,,,,,,,,,,,,,0.0,1.0,0.0,32.0,0.335,62.5,-0.36,0.0,,,,
r1,Haiku 4.5,anthropic,optimized,10,91.3,0.028549,0.031269,28.55,16755,0,96.8,173.2,15.5,13.5,353.6,,,,,,,,,,,,,,,,,1.0,0.0,0.0,52.0,0.825,100.0,0.95,100.0,,36.9,13.5,0.0
r1,Llama 3.3 70B (Together),openai_compat,baseline,3,0.0,0.001945,,1.94,1870,0,5.8,320.8,1,0.0,2.1,,,,,,,,,,,,,,,,,0.0,0.67,0.33,0.0,0,0,,,,,,
r1,Llama 3.3 70B (Together),openai_compat,optimized,10,0.0,0.001765,,1.76,1696,0,7.5,227.0,1.0,0.0,15.7,,,,,,,,,,,,,,,,,0.0,0.5,0.5,0.0,0.0,0.0,,,,100.0,0.0,0.0
r1,Mistral Large (mistral.ai),openai_compat,baseline,3,0.0,0.090578,,90.58,163102,0,138.9,1174.3,21,0.0,94.9,,,,,,,,,,,,,,,,,0.0,0.33,0.67,0.0,0,0,,,,,,
r1,Mistral Large (mistral.ai),openai_compat,optimized,10,91.3,0.006215,0.006807,6.21,9954,0,34.4,289.5,3.5,13.5,114.1,,,,,,,,,,,,,,,,,1.0,0.0,0.0,52.0,0.825,100.0,0.95,100.0,,50.0,2.0,0.0
r1,Mistral Small (mistral.ai),openai_compat,baseline,3,0.0,0.005998,,6.0,56580,0,32.0,1768.7,12,0.0,54.9,,,,,,,,,,,,,,,,,0.0,0.33,0.67,0.0,0,0,,,,,,
r1,Mistral Small (mistral.ai),openai_compat,optimized,10,91.3,0.000797,0.000873,0.8,5821,0,14.8,393.8,2.0,25.0,25.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,52.0,0.825,100.0,-0.03,100.0,,100.0,0.0,0.0
r1,Opus 4.8,anthropic,baseline,3,40.4,0.728519,1.803265,728.52,116672,0,162.7,717.2,18,3.8,18.0,,,,,,,,,,,,,,,,,0.0,1.0,0.0,46.0,0.473,60.9,0.46,0.0,,,,
r1,Opus 4.8,anthropic,optimized,10,95.2,0.416185,0.437169,416.19,49067,0,231.4,212.1,30.0,25.0,66.5,,,,,,,,,,,,,,,,,1.0,0.0,0.0,92.0,1.0,100.0,0.98,80.8,,3.3,28.0,1.0
r1,Opus 5,anthropic,baseline,3,4.0,0.377445,9.436125,377.44,72701,0,60.0,1211.9,12,2.9,56.8,,,,,,,,,,,,,,,,,0.0,1.0,0.0,6.0,0.081,0.0,-0.33,0.0,,,,
r1,Opus 5,anthropic,optimized,10,97.6,0.319535,0.327393,319.54,45714,0,164.7,277.6,30.0,4.8,61.1,,,,,,,,,,,,,,,,,1.0,0.0,0.0,92.0,1.0,100.0,0.98,90.4,,3.3,28.0,1.0
r1,Qwen 3.5 9B (Together),openai_compat,baseline,3,0.0,0.001159,,1.16,6648,0,8.9,745.3,2,0.0,96.5,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0,0,,,,,,
